PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,Dhi,Dni,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m
2018-12-31T02:00:00Z,2018-12-31T01:00:00Z,PT60M,7.4,0.0,2,5,2,9.9,89.1,997.1,298,2.7
2018-12-31T03:00:00Z,2018-12-31T02:00:00Z,PT60M,8.1,25.8,68,11,69,9.9,86.1,997.6,294,3.2
2018-12-31T04:00:00Z,2018-12-31T03:00:00Z,PT60M,10.1,10.1,143,320,257,10.0,77.7,997.8,293,3.4
2018-12-31T05:00:00Z,2018-12-31T04:00:00Z,PT60M,13.4,0.0,144,660,451,10.0,65.7,997.8,293,3.2
2018-12-31T06:00:00Z,2018-12-31T05:00:00Z,PT60M,16.8,0.0,169,716,572,10.1,55.9,997.7,294,3.1
2018-12-31T07:00:00Z,2018-12-31T06:00:00Z,PT60M,18.9,0.0,202,682,620,10.3,49.4,997.2,294,3.2
2018-12-31T08:00:00Z,2018-12-31T07:00:00Z,PT60M,19.9,0.0,202,673,610,10.5,45.2,996.2,294,3.5
2018-12-31T09:00:00Z,2018-12-31T08:00:00Z,PT60M,20.9,0.0,190,627,532,10.8,41.4,995.3,295,3.9
2018-12-31T10:00:00Z,2018-12-31T09:00:00Z,PT60M,20.8,0.0,174,478,383,10.8,41.6,994.8,297,3.9
2018-12-31T11:00:00Z,2018-12-31T10:00:00Z,PT60M,19.7,0.0,117,330,212,10.5,45.7,994.9,301,3.5
2018-12-31T12:00:00Z,2018-12-31T11:00:00Z,PT60M,18.6,0.0,40,103,54,10.2,50.4,994.9,307,3.1
2018-12-31T13:00:00Z,2018-12-31T12:00:00Z,PT60M,16.9,0.0,0,0,0,10.1,56.4,995.1,309,2.9
2018-12-31T14:00:00Z,2018-12-31T13:00:00Z,PT60M,14.7,0.0,0,0,0,10.0,64.1,995.5,307,2.9
2018-12-31T15:00:00Z,2018-12-31T14:00:00Z,PT60M,12.4,0.0,0,0,0,9.9,73.1,995.9,305,2.9
2018-12-31T16:00:00Z,2018-12-31T15:00:00Z,PT60M,10.9,0.0,0,0,0,9.9,79.5,996.0,304,2.8
2018-12-31T17:00:00Z,2018-12-31T16:00:00Z,PT60M,10.3,0.0,0,0,0,10.0,82.3,996.0,306,2.6
2018-12-31T18:00:00Z,2018-12-31T17:00:00Z,PT60M,9.6,0.0,0,0,0,10.1,85.2,995.9,308,2.5
2018-12-31T19:00:00Z,2018-12-31T18:00:00Z,PT60M,9.1,0.0,0,0,0,10.1,87.4,995.8,308,2.4
2018-12-31T20:00:00Z,2018-12-31T19:00:00Z,PT60M,8.7,0.0,0,0,0,10.2,88.7,995.5,306,2.3
2018-12-31T21:00:00Z,2018-12-31T20:00:00Z,PT60M,8.2,0.0,0,0,0,10.2,90.1,995.3,305,2.2
2018-12-31T22:00:00Z,2018-12-31T21:00:00Z,PT60M,7.8,0.0,0,0,0,10.1,91.2,995.1,301,2.1
2018-12-31T23:00:00Z,2018-12-31T22:00:00Z,PT60M,7.5,0.0,0,0,0,9.9,92.1,995.1,296,2.1
2019-01-01T00:00:00Z,2018-12-31T23:00:00Z,PT60M,7.2,0.0,0,0,0,9.7,92.9,995.0,291,2.0
2019-01-01T01:00:00Z,2019-01-01T00:00:00Z,PT60M,7.3,0.0,0,0,0,9.6,92.3,995.3,286,2.2
2019-01-01T02:00:00Z,2019-01-01T01:00:00Z,PT60M,7.9,0.0,2,2,2,9.7,90.2,995.9,283,2.7
2019-01-01T03:00:00Z,2019-01-01T02:00:00Z,PT60M,8.5,32.6,52,4,52,9.7,88.2,996.5,281,3.1
2019-01-01T04:00:00Z,2019-01-01T03:00:00Z,PT60M,10.4,21.5,178,53,199,10.0,81.2,996.9,282,3.2
2019-01-01T05:00:00Z,2019-01-01T04:00:00Z,PT60M,13.4,0.1,193,468,411,10.5,70.7,997.0,286,2.8
2019-01-01T06:00:00Z,2019-01-01T05:00:00Z,PT60M,16.5,0.0,234,520,527,11.0,61.9,997.0,290,2.5
2019-01-01T07:00:00Z,2019-01-01T06:00:00Z,PT60M,18.5,0.0,283,451,559,11.6,55.7,996.6,295,2.3
2019-01-01T08:00:00Z,2019-01-01T07:00:00Z,PT60M,19.5,0.0,287,422,543,12.5,51.5,995.6,298,2.3
2019-01-01T09:00:00Z,2019-01-01T08:00:00Z,PT60M,20.5,3.2,260,355,456,13.3,47.6,994.6,302,2.3
2019-01-01T10:00:00Z,2019-01-01T09:00:00Z,PT60M,20.5,28.3,206,108,248,14.1,48.3,994.1,306,2.0
2019-01-01T11:00:00Z,2019-01-01T10:00:00Z,PT60M,19.6,13.5,129,133,172,14.9,53.6,994.0,319,1.2
2019-01-01T12:00:00Z,2019-01-01T11:00:00Z,PT60M,18.7,0.1,41,57,49,15.7,59.4,993.9,0,0.6
2019-01-01T13:00:00Z,2019-01-01T12:00:00Z,PT60M,17.4,0.0,0,0,0,16.2,65.1,994.1,67,0.7
2019-01-01T14:00:00Z,2019-01-01T13:00:00Z,PT60M,15.7,0.0,0,0,0,16.2,70.7,994.4,98,1.1
2019-01-01T15:00:00Z,2019-01-01T14:00:00Z,PT60M,14.1,0.0,0,0,0,16.3,76.8,994.8,111,1.7
2019-01-01T16:00:00Z,2019-01-01T15:00:00Z,PT60M,12.8,0.0,0,0,0,16.4,81.6,994.9,121,2.0
2019-01-01T17:00:00Z,2019-01-01T16:00:00Z,PT60M,11.9,0.0,0,0,0,16.6,84.8,994.9,134,2.2
2019-01-01T18:00:00Z,2019-01-01T17:00:00Z,PT60M,11.0,0.0,0,0,0,16.9,88.1,994.9,145,2.4
2019-01-01T19:00:00Z,2019-01-01T18:00:00Z,PT60M,10.3,0.0,0,0,0,17.0,90.3,994.9,150,2.5
2019-01-01T20:00:00Z,2019-01-01T19:00:00Z,PT60M,9.9,0.0,0,0,0,17.0,91.4,994.8,151,2.4
2019-01-01T21:00:00Z,2019-01-01T20:00:00Z,PT60M,9.6,0.0,0,0,0,17.1,92.4,994.7,153,2.3
2019-01-01T22:00:00Z,2019-01-01T21:00:00Z,PT60M,9.3,0.0,0,0,0,16.7,93.4,994.6,151,2.2
2019-01-01T23:00:00Z,2019-01-01T22:00:00Z,PT60M,9.2,0.0,0,0,0,16.0,94.2,994.5,145,2.1
2019-01-02T00:00:00Z,2019-01-01T23:00:00Z,PT60M,9.1,0.0,0,0,0,15.3,95.0,994.5,139,2.0
2019-01-02T01:00:00Z,2019-01-02T00:00:00Z,PT60M,9.2,0.0,0,0,0,14.9,94.2,994.8,132,2.1
2019-01-02T02:00:00Z,2019-01-02T01:00:00Z,PT60M,9.5,0.0,2,1,2,14.8,91.7,995.5,125,2.4
2019-01-02T03:00:00Z,2019-01-02T02:00:00Z,PT60M,9.8,34.4,47,2,47,14.8,89.2,996.2,120,2.6
2019-01-02T04:00:00Z,2019-01-02T03:00:00Z,PT60M,11.5,30.9,167,0,167,14.6,82.0,996.6,118,2.6
2019-01-02T05:00:00Z,2019-01-02T04:00:00Z,PT60M,14.6,4.0,213,363,387,14.5,71.5,996.7,118,2.3
2019-01-02T06:00:00Z,2019-01-02T05:00:00Z,PT60M,17.6,0.0,241,489,516,14.3,62.6,996.9,118,2.1
2019-01-02T07:00:00Z,2019-01-02T06:00:00Z,PT60M,19.5,0.0,291,419,548,14.2,56.2,996.6,117,1.8
2019-01-02T08:00:00Z,2019-01-02T07:00:00Z,PT60M,20.4,0.0,294,397,535,14.1,51.8,995.7,115,1.5
2019-01-02T09:00:00Z,2019-01-02T08:00:00Z,PT60M,21.3,0.0,269,346,460,14.0,47.7,994.8,112,1.3
